-1.41  0.00  1.41
-1.62  0.00  1.62
-1.78  0.00  1.78
-1.90  0.00  1.90
-1.98  0.00  1.98
-2.02  0.00  2.02
-2.00  0.00  2.00
-1.93  0.00  1.93
-1.81  0.00  1.81
-1.65  0.00  1.65
-1.45  0.00  1.45
-1.22  0.00  1.22
-0.96  0.00  0.96
-0.69  0.00  0.69
-0.44  0.00  0.44
-0.31  0.00  0.31
-0.44  0.00  0.44
-0.69  0.00  0.69
-0.96  0.00  0.96
-1.22  0.00  1.22
-1.45  0.00  1.45
-1.65  0.00  1.65
-1.81  0.00  1.81
-1.93  0.00  1.93
-2.00  0.00  2.00
-2.09  0.00  2.09
-2.07  0.00  2.07
-2.00  0.00  2.00
-1.89  0.00  1.89
-1.73  0.00  1.73
-1.54  0.00  1.54
-1.33  0.00  1.33
-1.10  0.00  1.10
-0.87  0.00  0.87
-0.69  0.00  0.69
-0.62  0.00  0.62
-0.69  0.00  0.69
-0.87  0.00  0.87
-1.10  0.00  1.10
-1.33  0.00  1.33
-1.54  0.00  1.54
-1.73  0.00  1.73
-1.89  0.00  1.89
-2.00  0.00  2.00
-2.07  0.00  2.07
-2.20  0.00  2.20
-2.17  0.00  2.17
-2.11  0.00  2.11
-2.00  0.00  2.00
-1.86  0.00  1.86
-1.68  0.00  1.68
-1.49  0.00  1.49
-1.28  0.00  1.28
-1.10  0.00  1.10
-0.96  0.00  0.96
-0.91  0.00  0.91
-0.96  0.00  0.96
-1.10  0.00  1.10
-1.28  0.00  1.28
-1.49  0.00  1.49
-1.68  0.00  1.68
-1.86  0.00  1.86
-2.00  0.00  2.00
-2.11  0.00  2.11
-2.17  0.00  2.17
-2.32  0.00  2.32
-2.30  0.00  2.30
-2.24  0.00  2.24
-2.13  0.00  2.13
-2.00  0.00  2.00
-1.84  0.00  1.84
-1.66  0.00  1.66
-1.49  0.00  1.49
-1.33  0.00  1.33
-1.22  0.00  1.22
-1.18  0.00  1.18
-1.22  0.00  1.22
-1.33  0.00  1.33
-1.49  0.00  1.49
-1.66  0.00  1.66
-1.84  0.00  1.84
-2.00  0.00  2.00
-2.13  0.00  2.13
-2.24  0.00  2.24
-2.30  0.00  2.30
-2.45  0.00  2.45
-2.43  0.00  2.43
-2.37  0.00  2.37
-2.27  0.00  2.27
-2.15  0.00  2.15
-2.00  0.00  2.00
-1.84  0.00  1.84
-1.68  0.00  1.68
-1.54  0.00  1.54
-1.45  0.00  1.45
-1.41  0.00  1.41
-1.45  0.00  1.45
-1.54  0.00  1.54
-1.68  0.00  1.68
-1.84  0.00  1.84
-2.00  0.00  2.00
-2.15  0.00  2.15
-2.27  0.00  2.27
-2.37  0.00  2.37
-2.43  0.00  2.43
-2.57  0.00  2.57
-2.55  0.00  2.55
-2.50  0.00  2.50
-2.41  0.00  2.41
-2.29  0.00  2.29
-2.15  0.00  2.15
-2.00  0.00  2.00
-1.86  0.00  1.86
-1.73  0.00  1.73
-1.65  0.00  1.65
-1.62  0.00  1.62
-1.65  0.00  1.65
-1.73  0.00  1.73
-1.86  0.00  1.86
-2.00  0.00  2.00
-2.15  0.00  2.15
-2.29  0.00  2.29
-2.41  0.00  2.41
-2.50  0.00  2.50
-2.55  0.00  2.55
-2.68  0.00  2.68
-2.66  0.00  2.66
-2.61  0.00  2.61
-2.52  0.00  2.52
-2.41  0.00  2.41
-2.27  0.00  2.27
-2.13  0.00  2.13
-2.00  0.00  2.00
-1.89  0.00  1.89
-1.81  0.00  1.81
-1.78  0.00  1.78
-1.81  0.00  1.81
-1.89  0.00  1.89
-2.00  0.00  2.00
-2.13  0.00  2.13
-2.27  0.00  2.27
-2.41  0.00  2.41
-2.52  0.00  2.52
-2.61  0.00  2.61
-2.66  0.00  2.66
-2.76  0.00  2.76
-2.74  0.00  2.74
-2.69  0.00  2.69
-2.61  0.00  2.61
-2.50  0.00  2.50
-2.37  0.00  2.37
-2.24  0.00  2.24
-2.11  0.00  2.11
-2.00  0.00  2.00
-1.93  0.00  1.93
-1.90  0.00  1.90
-1.93  0.00  1.93
-2.00  0.00  2.00
-2.11  0.00  2.11
-2.24  0.00  2.24
-2.37  0.00  2.37
-2.50  0.00  2.50
-2.61  0.00  2.61
-2.69  0.00  2.69
-2.74  0.00  2.74
-2.81  0.00  2.81
-2.79  0.00  2.79
-2.74  0.00  2.74
-2.66  0.00  2.66
-2.55  0.00  2.55
-2.43  0.00  2.43
-2.30  0.00  2.30
-2.17  0.00  2.17
-2.07  0.00  2.07
-2.00  0.00  2.00
-1.98  0.00  1.98
-2.00  0.00  2.00
-2.07  0.00  2.07
-2.17  0.00  2.17
-2.30  0.00  2.30
-2.43  0.00  2.43
-2.55  0.00  2.55
-2.66  0.00  2.66
-2.74  0.00  2.74
-2.79  0.00  2.79
